date,M15
1987-06-30,0.514439245503729
1987-09-30,0.518002830139236
1987-12-31,0.514018851756641
1988-03-31,0.508737995860056
1988-06-30,0.512920359749739
1988-09-30,0.525464359422131
1988-12-31,0.50972972972973
1989-03-31,0.525505892817434
1989-06-30,0.550115774021218
1989-09-30,0.558191121232735
1989-12-31,0.562391980642931
1990-03-31,0.573720251623972
1990-06-30,0.577736281832618
1990-09-30,0.559306064458237
1990-12-31,0.566150287609946
1991-03-31,0.562933816006925
1991-06-30,0.572353162414593
1991-09-30,0.583560491596442
1991-12-31,0.575525871334255
1992-03-31,0.569240519700011
1992-06-30,0.565060536531163
1992-09-30,0.565398135857753
1992-12-31,0.599204232560151
1993-03-31,0.624077675456157
1993-06-30,0.62651505325205
1993-09-30,0.624144886243424
1993-12-31,0.628682462078476
1994-03-31,0.630909288844134
1994-06-30,0.639403299119246
1994-09-30,0.654725113858165
1994-12-31,0.656276447534601
1995-03-31,0.670204027556969
1995-06-30,0.681255593913822
1995-09-30,0.691962106896595
1995-12-31,0.69193029523916
1996-03-31,0.696762774901042
1996-06-30,0.697170201453299
1996-09-30,0.681863448978646
1996-12-31,0.672737350542402
1997-03-31,0.649386851180573
1997-06-30,0.638987613299405
1997-09-30,0.63319365618204
1997-12-31,0.631289999069489
1998-03-31,0.625382355920186
1998-06-30,0.615740603692411
1998-09-30,0.611946606904144
1998-12-31,0.615800780480114
1999-03-31,0.612082617644551
1999-06-30,0.607294557076309
1999-09-30,0.610199117190256
1999-12-31,0.610226815215506
2000-03-31,0.617414482169963
2000-06-30,0.619473433579843
2000-09-30,0.632432055749341
2000-12-31,0.631684903961443
2001-03-31,0.631974585324718
2001-06-30,0.628004098360819
2001-09-30,0.620703239421463
2001-12-31,0.613993587472482
2002-03-31,0.611930382981084
2002-06-30,0.627322946398773
2002-09-30,0.626667921817794
2002-12-31,0.62607176712946
2003-03-31,0.636517609971904
2003-06-30,0.63320748380538
2003-09-30,0.630008719639464
2003-12-31,0.626046658254407
2004-03-31,0.616882444329972
2004-06-30,0.612160515747756
2004-09-30,0.614795607807181
2004-12-31,0.624841718702949
2005-03-31,0.627894578219782
2005-06-30,0.624041026841604
2005-09-30,0.640054009428089
2005-12-31,0.642572391235183
2006-03-31,0.652090387217511
2006-06-30,0.656175180756924
2006-09-30,0.651044031150458
2006-12-31,0.644189069250035
2007-03-31,0.63269312835009
2007-06-30,0.640086883865343
2007-09-30,0.640672033171011
2007-12-31,0.657309966799131
2008-03-31,0.685644776050565
2008-06-30,0.710133281793534
2008-09-30,0.733401695290488
2008-12-31,0.727470311211157
2009-03-31,0.730920005318048
2009-06-30,0.716013442828575
2009-09-30,0.711048697722482
2009-12-31,0.718035511271781
2010-03-31,0.73762646098513
2010-06-30,0.748459471395342
2010-09-30,0.742347494648425
2010-12-31,0.755428828631991
2011-03-31,0.774807316130468
2011-06-30,0.792503084540607
2011-09-30,0.803300788848962
2011-12-31,0.796925508419682
2012-03-31,0.790363048832502
2012-06-30,0.782332419652569
2012-09-30,0.77949894334766
2012-12-31,0.781546628290009
2013-03-31,0.798844788236218
2013-06-30,0.791679511637782
2013-09-30,0.792393584746463
2013-12-31,0.776858059486879
2014-03-31,0.770056391918642
2014-06-30,0.761861381848526
2014-09-30,0.752260352788998
2014-12-31,0.746325375204113
2015-03-31,0.726800000706066
2015-06-30,0.720700905923187
2015-09-30,0.714832415803571
2015-12-31,0.705077720141872
2016-03-31,0.721258143154215
2016-06-30,0.736263109897793
2016-09-30,0.766086099222828
2016-12-31,0.785590389003389
2017-03-31,0.79643989370687
2017-06-30,0.796184088140216
2017-09-30,0.799361675724722
2017-12-31,0.805794392623683
2018-03-31,0.815297534886645
2018-06-30,0.818638266609808
2018-09-30,0.827664917308371
2018-12-31,0.826100640856791
2019-03-31,0.821863575800144
2019-06-30,0.82949036029432
2019-09-30,0.844363900006379
2019-12-31,0.825041694749286
2020-03-31,0.818966269349696
2020-06-30,0.808622924390166
2020-09-30,0.810392277477061
2020-12-31,0.820767636331632
2021-03-31,0.816298863895525
2021-06-30,0.824330355610795
2021-09-30,0.839929549421132
2021-12-31,0.893902082484986
2022-03-31,0.921843132822678
2022-06-30,0.983836566195532
2022-09-30,1.02330114943403
2022-12-31,1.01216531698448
2023-03-31,1.02154372775333
2023-06-30,1.00005844742037
2023-09-30,0.984234998233857
2023-12-31,0.994097524450472
2024-03-31,0.985739000240073
2024-06-30,0.996102522384453
2024-09-30,0.974058125115543
2024-12-31,0.976246611925878
2025-03-31,0.998950866397821
2025-06-30,0.992517299778247
2025-09-30,0.986092747068166
2025-12-31,1.00481436780359
2026-03-31,1.00268312273618
2026-06-30,1.03470568254168
2026-09-30,1.03126921064787
2026-12-31,1.02108565765283
2027-03-31,1.01590862174535
2027-06-30,1.01265196640229
2027-09-30,1.01034866830139
2027-12-31,1.00825272538385
2028-03-31,1.00659242366188
2028-06-30,1.00503851607327
2028-09-30,1.00362779090314
2028-12-31,1.00235794119012
2029-03-31,1.00106999055868
2029-06-30,0.999798924530252
